Diamond #,Cut Type,X (px),Y (px),Width (px),Height (px),Area (px²),Aspect Ratio
125,Round,648,360,19.0,27.3,327.5,1.43
126,Marquise,631,362,16.6,33.8,357.5,2.03
127,Marquise,717,369,19.4,11.9,168.0,1.62
128,Marquise,1065,378,15.2,7.3,73.0,2.07
129,Marquise,739,380,8.0,4.0,17.5,2.0
130,Round,1015,376,13.0,11.0,90.0,1.18
131,Marquise,696,382,6.0,14.0,49.5,2.33
132,Baguette,1065,386,2.0,16.0,14.5,8.0
133,Baguette,702,388,8.9,3.1,18.0,2.86
134,Marquise,697,388,8.9,4.4,17.5,2.0
135,Round,1036,384,10.0,12.0,87.5,1.2
136,Round,625,387,14.0,20.0,185.5,1.43
